Navn,Parti
Pia Adelsteen,Dansk Folkeparti
Karina Adsbøl,Dansk Folkeparti
Alex Ahrendtsen,Dansk Folkeparti
Simon Emil Ammitzbøll,Liberal Alliance
Eigil Andersen,Socialistisk Folkeparti
Hans Andersen,Venstre
Kim Andersen,Venstre
Liv Holm Andersen,Radikale Venstre
Sophie Hæstorp Andersen,Socialdemokratiet
Christine Antorini,Socialdemokratiet
Jørgen Arbo-Bæhr,Enhedslisten
Ida Auken,Socialistisk Folkeparti
Christian Friis Bach,Radikale Venstre
Pernille Vigsø Bagge,Socialistisk Folkeparti
Lars Barfoed,Det Konservative Folkeparti
Gitte Lillelund Bech,Venstre
Tom Behnke,Det Konservative Folkeparti
Jacob Bjerregaard,Socialdemokratiet
Liselott Blixt,Dansk Folkeparti
Mette Bock,Liberal Alliance
Erling Bonnesen,Venstre
Trine Bramsen,Socialdemokratiet
Stine Maiken Brix,Enhedslisten
Kirsten Brosbøl,Socialdemokratiet
Morten Bødskov,Socialdemokratiet
Bent Bøgsted,Dansk Folkeparti
Anne Baastrup,Socialistisk Folkeparti
Özlem Sara Cekic,Socialistisk Folkeparti
Peter Christensen,Venstre
René Christensen,Dansk Folkeparti
Villum Christensen,Liberal Alliance
Anne-Mette Winther Christiansen,Venstre
Kim Christiansen,Dansk Folkeparti
Per Clausen,Enhedslisten
Bjarne Corydon,Socialdemokratiet
Jens Henrik Thulesen Dahl,Dansk Folkeparti
Jonas Dahl,Socialistisk Folkeparti
Kristian Thulesen Dahl,Dansk Folkeparti
Lennart Damsbo-Andersen,Socialdemokratiet
Thomas Danielsen,Venstre
Mette Hjermind Dencker,Dansk Folkeparti
Mikkel Dencker,Dansk Folkeparti
Lars Dohn,Enhedslisten
Jørn Dohrmann,Dansk Folkeparti
Pia Olsen Dyhr,Socialistisk Folkeparti
Uffe Elbæk,Radikale Venstre
Louise Schack Elholm,Venstre
Jakob Ellemann-Jensen,Venstre
Karen Ellemann,Venstre
Benny Engelbrecht,Socialdemokratiet
Lene Espersen,Det Konservative Folkeparti
Søren Espersen,Dansk Folkeparti
Nadeem Farooq,Radikale Venstre
Dennis Flydtkjær,Dansk Folkeparti
Thyra Frank,Liberal Alliance
Claus Hjort Frederiksen,Venstre
Mette Frederiksen,Socialdemokratiet
Lykke Friis,Venstre
Steen Gade,Socialistisk Folkeparti
Martin Geertsen,Venstre
Mette Gjerskov,Socialdemokratiet
Karin Gaardsted,Socialdemokratiet
Ane Halsboe-Larsen,Socialdemokratiet
Carsten Hansen,Socialdemokratiet
Eva Kjer Hansen,Venstre
Torben Hansen,Socialdemokratiet
Orla Hav,Socialdemokratiet
Jane Heitmann,Venstre
Mai Henriksen,Det Konservative Folkeparti
Martin Henriksen,Dansk Folkeparti
Preben Bang Henriksen,Venstre
Camilla Hersom,Radikale Venstre
Magnus Heunicke,Socialdemokratiet
Birthe Rønn Hornbech,Venstre
Henning Hyllested,Enhedslisten
Karen Hækkerup,Socialdemokratiet
Nick Hækkerup,Socialdemokratiet
Ole Hækkerup,Socialdemokratiet
Henrik Høegh,Venstre
Bertel Haarder,Venstre
Doris Jakobsen,Siumut
Marianne Jelved,Radikale Venstre
Jacob Jensen,Venstre
Kristian Jensen,Venstre
Leif Lahn Jensen,Socialdemokratiet
Michael Aastrup Jensen,Venstre
Mogens Jensen,Socialdemokratiet
Peter Juel Jensen,Venstre
Thomas Jensen,Venstre
Karen Jespersen,Venstre
Jens Joel,Socialdemokratiet
Edmund Joensen,Sambandsflokkurin
Jan Johansen,Socialdemokratiet
Birgitte Josefsen,Venstre
Christian Juhl,Enhedslisten
Jan E. Jørgensen,Venstre
Morten Marinus Jørgensen,Dansk Folkeparti
Benedikte Kiær,Det Konservative Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Karen J. Klint,Socialdemokratiet
Jeppe Kofod,Socialdemokratiet
Simon Kollerup,Socialdemokratiet
